Frame,Ball,x,y
0,1,0.42181640624999994,0.08348611111111111
1,1,0.42152734375000006,0.08429166666666667
2,1,0.42123828124999996,0.08509722222222223
3,1,0.42094921875,0.08590277777777779
4,1,0.42066015625,0.08670833333333333
5,1,0.42037109375000004,0.08751388888888889
6,1,0.42008203124999993,0.08831944444444445
7,1,0.41979296875000005,0.089125
8,1,0.41950390624999995,0.08993055555555556
9,1,0.41921484375,0.09073611111111111
10,1,0.41892578125,0.09154166666666669
11,1,0.41886328125,0.09297222222222223
12,1,0.41880078125000003,0.09440277777777778
13,1,0.41873828125,0.09583333333333334
14,1,0.41867578125,0.09726388888888889
15,1,0.41861328125,0.09869444444444445
16,1,0.41855078125,0.100125
17,1,0.41848828125,0.10155555555555557
18,1,0.41842578125,0.10298611111111113
19,1,0.41836328125,0.10441666666666667
20,1,0.41830078125,0.10584722222222223
21,1,0.41830078125,0.10751388888888891
22,1,0.41785546875,0.10420833333333333
23,1,0.41740234374999996,0.10090277777777779
24,1,0.41695703124999994,0.09759722222222224
25,1,0.41651171875,0.09429166666666666
26,1,0.41605859375000004,0.09098611111111111
27,1,0.41561328125,0.08768055555555555
28,1,0.41516796874999995,0.084375
29,1,0.41471484375,0.08106944444444444
30,1,0.41426953125,0.0777638888888889
31,1,0.41382421875,0.07445833333333333
32,1,0.41291406249999996,0.06518055555555556
33,1,0.41268359375,0.05604166666666667
34,1,0.41245703124999994,0.04688888888888888
35,1,0.41223046874999997,0.03775
36,1,0.41200390625,0.028597222222222222
37,1,0.41177734375,0.019458333333333334
38,1,0.41155078125000005,0.010305555555555556
39,1,0.41109765624999994,0.006013888888888889
40,1,0.41109765624999994,0.003597222222222222
41,0,-1.0,-1.0
42,0,-1.0,-1.0
43,0,-1.0,-1.0
44,0,-1.0,-1.0
45,0,-1.0,-1.0
46,0,-1.0,-1.0
47,0,-1.0,-1.0
48,0,-1.0,-1.0
49,0,-1.0,-1.0
50,0,-1.0,-1.0
51,0,-1.0,-1.0
52,0,-1.0,-1.0
53,0,-1.0,-1.0
54,1,0.40927734375,0.006076388888888889
55,1,0.40901953124999996,0.012618055555555556
56,1,0.40888671875,0.018222222222222223
57,1,0.40950781249999996,0.022555555555555558
58,1,0.4101328125,0.026881944444444444
59,1,0.41075390624999997,0.03121527777777778
60,1,0.41137890625000006,0.03554861111111111
61,1,0.41200000000000003,0.039875
62,1,0.41262499999999996,0.044208333333333336
63,1,0.41324609375000004,0.04853472222222222
64,1,0.41387109375,0.05286805555555555
65,1,0.41449218749999994,0.057194444444444444
66,1,0.41511718750000004,0.06152777777777777
67,1,0.417390625,0.074125
68,1,0.419671875,0.08673611111111111
69,1,0.4219453125,0.09933333333333333
70,1,0.42421875,0.11194444444444443
71,1,0.42650000000000005,0.12454166666666668
