Frame,Ball,x,y
0,0,-1.0,-1.0
1,1,0.76303515625,0.6818472222222223
2,1,0.7624257812499999,0.6855277777777778
3,1,0.76182421875,0.6892222222222222
4,1,0.76121875,0.6929027777777778
5,1,0.76061328125,0.6965833333333333
6,1,0.7600117187500001,0.7002708333333334
7,1,0.75940625,0.7039583333333334
8,1,0.7588007812500001,0.7076388888888889
9,1,0.75819921875,0.7113194444444444
10,1,0.7575898437499999,0.715013888888889
11,1,0.75698828125,0.7186944444444445
12,1,0.75666015625,0.6941944444444446
13,1,0.75633203125,0.6696875
14,1,0.7560039062499999,0.6451805555555555
15,1,0.755671875,0.6206805555555556
16,1,0.75534375,0.5961805555555556
17,1,0.7550156250000001,0.5716805555555555
18,1,0.75468359375,0.5471805555555556
19,1,0.75435546875,0.5226666666666666
20,1,0.7533867187500001,0.5059722222222222
21,1,0.7524140625,0.48927777777777776
22,1,0.75144140625,0.4725833333333333
23,1,0.75047265625,0.4558888888888889
24,1,0.7495,0.4391944444444445
25,1,0.74852734375,0.42250000000000004
26,1,0.74755859375,0.4058055555555556
27,1,0.7465859375,0.3891111111111111
28,1,0.7448710937499999,0.38447916666666665
29,1,0.7436367187499999,0.3860208333333333
30,1,0.7424062499999999,0.38754861111111105
31,1,0.741171875,0.38909027777777777
32,1,0.7399375,0.39061805555555557
33,1,0.738703125,0.39215972222222223
34,1,0.73746875,0.3936944444444445
35,1,0.736234375,0.3952291666666667
36,1,0.7265195312499999,0.3714375
37,1,0.7168046875,0.34763194444444445
38,1,0.70708984375,0.32384027777777774
39,1,0.6973750000000001,0.3000486111111111
40,1,0.6883671874999999,0.28315972222222224
41,1,0.6793632812499999,0.26627083333333335
42,1,0.670359375,0.24938194444444445
43,1,0.6613515624999999,0.23249305555555552
44,1,0.65234765625,0.21560416666666668
45,1,0.64334375,0.1987222222222222
46,1,0.6343359375000001,0.18183333333333335
47,1,0.6278359375,0.18175694444444446
48,1,0.62133984375,0.1816875
49,1,0.61483984375,0.1816111111111111
50,1,0.6083437500000001,0.18152777777777776
51,1,0.6018437499999999,0.18145138888888887
52,1,0.59534375,0.181375
